resolution,summary
"resolution of the miami city commission authorizing the acceptance of additional state housing init iatives partnership (ship) program funds in the amount of $75,145.00 for fiscal year 2021 2022 for the strategies under the current ship local housing assistance plan; further authorizing the city manager to negotiate and execute any and all necessary do cuments including amendments, extensions, and modifications, all in forms acceptable to the city attorney, subject to all federal, state, and local laws that regulate the use of such funds for said purpose. ph.4 12335 department of police resolution","The Miami city commission authorizes the acceptance of additional state housing init iatives partnership (ship) program funds in the amount of $75,145.00 for fiscal year 2021 2022."
"resolution of the miami city commission, with attachment(s), by four fifths (4 5ths) affirmative vote, pursuant to section 18 92 of the code of the city of miami, florida, as amended (city code), after an advertised public hearing, ratifying, approving, and confirming the city manager finding of sole source; waiving the requirements for competitive sealed bidding procedures and authorizing the purchase of five (5) sa30820sbl le sniper rifles with accessories from mile high shooting accessories, llc for the city of miamis police department (mpd), for the approximate price of thirty six thousand nine hundred eighty seven dollars and seventy cents ($36,987.70), allocating funds from mpd general fund account no. 00001.191501.667000.0.0, and other ources of funds; subject to the availability of funds and budgetary approval at the time of need; authorizing the city manager to negotiate and execute any and all documents, including any amendments, renewals, and extensions subject to all allocations, ap propriations, prior budgetary approvals, and compliance with applicable provisions of the city code, including the city of miamis procurement ordinance, anti deficiency act, and financial integrity principles, all as set forth in chapter 18 of the city co de, in form acceptable to the city attorney, and in compliance with all applicable laws, rules and regulations, as may be deemed necessary for said purpose. city commission meeting agenda september 8, 2022 city of miami page 12 printed on 30 2022 ph.5 12414 resolution","The Miami city commission passed a resolution of the miami city commission on September 8th, 2022. It authorizes the purchase of five (5) sa30820sbl le sniper rifles for the city of miamis police department."
"resolution of the miami city commission, by four fifths (4 5ths) af firmative vote, after an advertised public hearing, codesignating that portion of northwest 7th street road from north river drive to northwest 9th court, miami, florida as ruth greenfield way; further directing the city clerk to transmit copy of this resolution to the herein designated offices. sponsor (s): commissioner alex diaz de la portilla, commissioner christine king ph.6 12452 resolution",The Miami city commission passed a resolution by four fifths (4 5ths) af firmative vote after an advertised public hearing.
"resolution of the miami city commission, with attachment(s), by four fifths (4 5ths) affirmative vote and after an advertised public hearing, ratifying, approving, and confirming the city manager findings, attached and incorporated as exhibit a, that competitive negotiation methods and procedures are not practicable or advantageous for the city miami (city) pursuant to section 18 85(a) of the code of the city of miami, florida, as amended; waiving the requirements for said procedures; allocating and appropriating funds from the district commissioners discretionary fund (district funds) in an amount not to exceed two hundred ten thousand dollars ($210,000.00) to the martin luther king economic development corporation, florida not for profit corporation (mlk edc), for its kitchen incubator program, and further allocating and appropr iating district funds in an amount not to exceed ninety thousand dollars ($90,000.00) to the foundation of community assistance and leadership, inc., florida not for profit corporation (focal), for the focal moore park learning center; authorizing he city manager to negotiate and execute any and all necessary documents, including, but not limited to, grant agreements, amendments, modifications, and extensions, all in form acceptable to the city attorney, with the organizations stated herein for th purposes stated herein. sponsor (s): commissioner christine king city commission meeting agenda september 8, 2022 city of miami page 13 printed on 30 2022 ph.7 12482 resolution",The Miami city commission passed a resolution that competitive negotiation methods and procedures are not practicable or advantageous for the city miami (city) pursuant to section 18 85(a) of the code.
"resolution of the miami city commission, with attachment(s), by four fifths (4 5ths) affirmative vote, after an advertised public hearing, ratifying, appr oving, and confirming the city manager findings and recommendation, attached and incorporated as exhibit b, that competitive negotiation methods and procedures are not practicable or advantageous to the city of miami (city) pursuant to section 18 85(a) of the code of the city of miami, florida, as amended (city code); waiving the requirements for said procedures; allocating and appropriating american rescue plan act of 2021 (arpa) coronavirus state and local fiscal recovery funds, on reimburseme nt basis, in total amount not to exceed two hundred thousand dollars ($200,000.00) (grant) to the overtown youth center, inc., florida not for profit corporation (oyc), for its stem talent for miami project, subject to all federal, state, and local laws that regulate the use of such funds for said purpose; authorizing the city manager to negotiate and execute grant agreement, in form acceptable to the city attorney, with oyc and any and all other necessary documents, modifications, and amendment s, all in forms acceptable to the city attorney, for said purpose. sponsor (s): mayor francis x. suarez end of public hearings city commission meeting agenda september 8, 2022 city of miami page 14 printed on 30 2022 re resolutions re.1 12453 department of human resources resolution",The Miami city commission ratifies a resolution that competitive negotiation methods and procedures are not practicable or advantageous to the city of Miami.
"resolution of the miami city commission, with attachment(s), ratifying the amendment to article 52.9, titled pension, of the collective bargaining agreement, between the city of miami and the employee organization known as the miami general employees american federation of state, county, and municipal employees local 1907, afl cio, in effect for the period of october 1, 2020 through september 30, 2023. re.2 12366 office of communications resolution","The Miami city commission ratifies the amendment to article 52.9, titled pension, of the collective bargaining agreement between the city of Miami and the employee organization."
"resolution of the miami city commission, with attachment(s), by four fifths (4 5ths) affirmative ote, ratifying, confirming, and approving the city managers recommendation and written finding, attached and incorporated as exhibit a, pursuant to section 18 90 of the code of the city of miami, florida, as amended (city code), waiving the requiremen ts for competitive sealed bidding methods as not being advantageous or practicable for the city of miami (city) for the emergency purchase of performance lighting upgrade equipment and installation at the city hall commission chambers from pro sound, inc miami stagecraft, florida profit corporation (pro sound), for the citys department of communications (communications) for an estimated expenditure amount of eighty nine thousand seven hundred eighty seven dollars and ninety three cents ($89, 787.93); allocating funds from communications account no. 31000.381000.670000.0000.00000 and such other funding sources, subject to the availability of funds and budgetary approval at the time of need; authorizing the city manager to negotiate and execute any and all documents, subject to all allocations, appropriations, prior budgetary approvals, compliance with all applicable provisions of the city code, including the citys procurement ordinance, anti deficiency act, and financial integrity principles, ll as set forth in chapter 18 of the city code, in forms acceptable to the city attorney, and in compliance with all applicable laws, rules, and regulations, as may be deemed necessary for said purpose. city commission meeting agenda september 8, 2022 city of miami page 15 printed on 30 2022 re.3 12462 liberty city community revitalization rust resolution","The Miami city commission ratifies a resolution of the miami city commission, which waives the requirements for competitive sealed bidding methods and allocating funds from communications account no.31000.0000."
"resolution of the miami city commission, with attachment(s), approving and adopting the third supplemental budget of the liberty city community revitalization trust, attached and incorporated as exhibit g, in the amount of one million, one hundred nineteen thousand, one hundred sixty nine dollars ($1,119,169.00), for the fiscal year commencing october 1, 2021, and ending september 30, 2022. city commission meeting agenda september 8, 2022 city of miami page 16 printed on 30 2022 re.4 12251 resolution","The Miami city commission approved the third supplemental budget of the Liberty City Community revitalization Trust for the fiscal year commencing october 1, 2021 and ending september 30, 2022."
"resolution of the miami city commission authorizing the city manager negotiate and execute an revocable license agreement (agreement), in form acceptable to the city attorney, between the city of miami (city) and company, (user), whereby the city grants user temporary access rights to use portion of the city owned marine stadium parking lot located at 3501 rickenbacker causeway, miami, florida, 33149, (property), for the purpose of premier padel p1 event (event) in accordance with requirements set forth in section 53 53 of the code of the city of miami, florida, as amended, with additional terms and conditions as set forth in the agreement; further authorizing the city manager to negotiate and execute all necessary documents, including amendments and modifications to said agreement, in form acceptable to the city attorney. sponsor (s): commissioner alex diaz de la portilla history: 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 2022 9:00 am 07 19 22 city commission deferred next: 07 28 22 result: deferred [unanimous] next: 28 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: ken russell, commissioner, district two ayes: king, carollo, russell, diaz de la portilla, reyes 07 28 22 city commission deferred next: 09 08 22 result: deferred [unanimous] next: 2022 9:00 am mover: manolo reyes, commissioner, district four seconder: joe carollo, vice chair, district three ayes: king, carollo, russell, diaz de la portilla, reyes re.5 12439 resolution",The Miami city commission passed a resolution to allow the city manager to negotiate and execute a revocable license agreement.
"resolution of the miami city commission codesignating northwest 16 street road between 27th avenue and 24th avenue, miami, florida, as manuel balado avenue; further directing the city clerk to transmit copy of this resolution to the herein designated offices. sponsor (s): commissioner alex diaz de la portilla city commission meeting agenda september 8, 2022 city of miami page 17 printed on 30 2022 re.6 11033 resolution",The Miami city commission codesignating northwest 16 street road between 27th Avenue and 24th Avenue as Manuel Balado Avenue.
"resolution of the miami city commission, with attachment(s), approving and authorizing the ratification of the second amendment to the 1996 interlocal cooperation agreement, in substantially the attached form (2020 second amendment ila), between miami dade county (county), the city of miami (city), and the omni redevelopment district community redevelopment agency (omni cra) in order to extend the life of he omni cra to 2047; authorizing the city manager to execute the 2020 second amendment ila and take any and all necessary actions consistent with this resolution; further directing the city manager to work with the executive director of the omni cra to ensure copy of the 2020 second amendment ila is transmitted to the county for review, approval, and acceptance; providing for an effective date. sponsor (s): commissioner alex diaz de la portilla history: 11 18 21 city commission deferred next: 01 22 result: deferred [unanimous] next: 27 2022 9:00 am mover: joe carollo, vice chair, district three seconder: manolo reyes, commissioner, district four ayes: russell, diaz de la portilla, carollo, reyes, king 01 27 22 city commission deferred next: 10 22 result: deferred [unanimous] next: 10 2022 9:00 am mover: joe carollo, vice chair, district three seconder: ken russell, commissioner, district two ayes: christine king, joe carollo, ken russell absent: alex diaz de la portilla, manolo reyes 02 10 22 city commission indefinitely deferred next: 09 08 22 result: indefinitely deferred [unanimous] next: 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: joe carollo, vice chair, district three ayes: king, carollo, ussell, diaz de la portilla, reyes city commission meeting agenda september 8, 2022 city of miami page 18 printed on 30 2022 re.7 12113 resolution","The Miami city commission approved the ratification of the second amendment to the 1996 interlocal cooperation agreement on September 8th, 2022."
"resolution of the miami city commission authorizing the city manager to negotiate and execute an agreement, in form acceptable to the city attorney, with miami river fund, inc., florida not for profit 501(c)(3) organization, as the financial agency for the miami river commission, to provide litter and debris pickup and other services to beautify the banks of the miami river at riverside parks for two (2) year term, with an option to renew or one (1) additional one (1) year period, commencing on october 1, 2022, and ending on september 30, 2024, in an annual amount not to exceed $150,000.00, for total amount not to exceed $450,000.00, subject to budget appropriations and availability of funds at the time of need; further authorizing the city manager to make any changes to adjust, amend, and appropriate the city of miamis operating budget, five year financial plan, strategic plan, and multi year capital plan with the transfers in and or out as necessary and applicable, for the purpose set forth in this resolution; ratifying, approving, and confirming certain necessary actions by the city manager and the designated city departments; providing for an effective date. sponsor (s): commissi oner joe carollo re.8 12493 resolution","Miami river fund, inc., florida not for profit 501(c)(3) organization, as the financial agency for the Miami river commission, provides litter and debris pickup and other services to beautify the banks of the miami river at riverside parks for two (2"
"resolution of the miami city commission directing the city manager to take any and all action to ensure that any functional weapons donated or in the custody of the miami police department and eligible for destr uction are instead directed to irpin, ukraine, subject to all applicable laws, rules, and regulations, for the defense and liberation of ukrainian people against their russian invaders. sponsor (s): commissioner ken russell city commission meeting agenda september 8, 2022 city of miami page 19 printed on 30 2022 re.9 12496 resolution","The Miami city commission directs the city manager to take any and all action to ensure that any functional weapons donated or in the custody of the miami police department are instead directed to Irpin, Ukraine."
"resolution of the miami city commission modifying the requirements and guidelines of the expanded first time homebuyer program described in resolution no. 22 0211 (expanded program) by processing applications on first come, first ready, first serve basis, and by requiring proof of city of miami residency as condition of applicant eligibility, except for the exceptions stated herein; providing for an effective date. sponsor (s): commissioner christine king end of resolutions city commission meeting agenda september 8, 2022 city of miami page 20 printed on 30 2022 sr second re ading ordinances sr.1 11930 department of building ordinance second reading",Miami city commission modify the requirements and guidelines of the expanded first-time homebuyer program by processing applications on first come first served basis.
"an ordinance of the miami city commission amending chapter 10 article vi section 101 of the code of the city of miam i, florida, as amended (city code), titled buildings unsafe structures unsafe structures panel, to require certain residential building owners to house and pay for reasonable relocation costs of displaced residents and, should the owner fail to provid sufficient housing, further require reimbursement to the city of miami, florida (city) for any relocation costs paid by the city; providing for placement of lien on owners property for any unreimbursed relocation expenses incurred by the city; amend otice provisions and enlargement of time for compliance after notice of violation and to clarify enforcement options; containing severability clause; providing for an effective date. note for the record: 60 day public comment period: may 4, 2022 july 2022 history: 05 12 22 city commission no action taken next: 07 14 22 result: no action taken next: 14 2022 9:00 am 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 2022 9:00 am 07 19 22 city commission passed on first reading next: 09 08 22 result: passed on first reading [unanimous] next: 2022 9:00 am mover: ken russell, commissioner, district two seconder: christine king, chair, district five ayes: christine king, joe carollo, ken russell, manolo reyes absent: alex diaz de la portilla city commission meeting agenda september 8, 2022 city of miami page 21 printed on 30 2022 sr.2 12313 ordinance second reading","An ordinance of the Miami city commission amending chapter 10 article vi section 101 of the code of the city of miam i, florida to require certain residential building owners to house and pay for reasonable relocation costs of displaced residents."
"an ordinance of the miami city commission, with attachment(s), amending chapter 18 of the code of the city of miam i, florida, as amended titled finance; more specifically, establishing new article iv, titled grants, more particularly establishing an initiative titled, miamis economic accessibility initiative (eai) in an effort to support the rapid increase of activity in the city of miamis (city) technology industry by offering resources to ease the economic burden of city residents; requiring that any recipients of funding from the eai execute an agreement with the city which address the scope of service s, performance measures, invoicing, conflicts of interest, and other material terms that may be applicable to the use of funds; approving guidelines for the eai; authorizing the allocation and appropriation of funds from the office of the city managers ve nture miami initiative account no. 00001.150009.882000.0000.00000, in an amount not to exceed one million, one hundred thousand dollars ($1,100,000.00), to special revenue project fund titled miamis economic accessibility initiative; further amending chapter 18 article iii section 18 72 of the code of the city of miami, florida, entitled finance city of miami procurement ordinance application and exclusions, by amending section 18 72(b) to exclude from the requirements of the city of miami procuremen ordinance eai allocations of up to fifty thousand dollars ($50,000.00) in any one (1) fiscal year provided to any single entity; authorizing the city manager to execute any and all necessary documents, all in forms acceptable to the city attorney, for th said purposes stated herein; providing severability clause; and providing for an immediate effective date. sponsor (s): mayor francis x. suarez history: 07 28 22 city commission passed on first reading with modification(s) next: 09 08 22 result: passed on first reading with modification(s) [unanimous] next: 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: manolo reyes, commissioner, district four ayes: king, carollo, russell, diaz de la portilla, reyes city commission meeting agenda september 8, 2022 city of miami page 22 printed on 30 2022 sr.3 12267 ordinance second reading",An ordinance of the Miami city commission has been passed on first reading with modification.
"an ordinance of the miami city commission amending chapter article ii section 33 of the code of the city of miami, florida, as amended, titled administrat ion mayor and city commission order of business and rules of procedure by creating new subsection (o) to provide for the automatic continuance of city commission meetings when quorum is not available; containing severability clause; and providing for an effective date. sponsor (s): commissioner alex diaz de la portilla history: 07 28 22 city commission passed on first reading next: 09 08 22 result: passed on first reading [unanimous] next: 2022 9:00 am mover: alex diaz de la portilla, commis sioner, district one seconder: manolo reyes, commissioner, district four ayes: king, carollo, russell, diaz de la portilla, reyes sr.4 12268 ordinance second reading","An ordinance of the Miami city commission amending chapter article ii section 33 of the code of the city of Miami, florida, is passed on first reading on 2022 9:00 am."
"an ordinance of the mia mi city commission, amending chapter 2, article ii, section 33(l) of the code of the city of miami, florida, as amended, entitled administration mayor and city commission order of business and rules of procedure to provide for consideration of emergenc matters at special meetings of the city commission; containing severability clause; and providing for an effective date. sponsor (s): commissioner alex diaz de la portilla history: 07 28 22 city commission passed on first reading with modificatio n(s) next: 09 08 22 result: passed on first reading with modification(s) [unanimous] next: 2022 9:00 am mover: alex diaz de la portilla, commissioner, district one seconder: manolo reyes, commissioner, district four ayes: king, carollo, russell, diaz de la portilla, reyes city commission meeting agenda september 8, 2022 city of miami page 23 printed on 30 2022 sr.5 11695 department of planning ordinance second reading","An ordinance of the mia mi city commission, amending chapter 2, article ii, section 33(l) of the code of the city of Miami, florida, as amended, is passed on first reading with modification on September 8, 2022."
"an ordinance of the miami city commission amending chapter article xi division 21 section 1328.1 of the code of the city of miami, florida, as amended, titled administration boards, committees, commissions wynwood business improvement district wynwood design review committee to amend the requirements for qualifications and terms of office for members of the wynwood design review committee (wdrc) and to amend the functions, powers, and duties of the wdrc; containing severability clause; and providing for an effective date. sponsor (s): commissioner christine king note for the record: 60 day public co mment period: april 20, 2022 june 19, 2022 history: 04 28 22 city commission no action taken next: 07 14 22 result: no action taken next: 14 2022 9:00 am 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 2022 9:00 am 07 19 22 city commission passed on first reading next: 09 08 22 result: passed on first reading [unanimous] next: 2022 9:00 am mover: ken russell, commissioner, district two seconder: christine king, chair, district five ayes: christine ing, joe carollo, ken russell, manolo reyes absent: alex diaz de la portilla end of second reading ordinances city commission meeting agenda september 8, 2022 city of miami page 24 printed on 30 2022 fr first reading ordinances note: any proposed ordinance listed as an item for first reading in this section may be adopted as an emergency measure upon being so determined by the city commission. fr.1 12451 office of the city attorney ordinance first reading","An ordinance of the Miami city commission amending chapter article xi division 21 section 1328.1 of the code of the city of miami, florida, as amended, is passed on first reading on September 8, 2022."
"an ordinance of the miami city commission amending chapter 54 article section 54 138 of the code of the city of miami, florida, titled streets and sidewalks naming of streets and numbering of buildings expenses, to remove requirements related to sunsetted board; containing severability clause; providing for an immedi ate effective date. fr.2 12445 ordinance first reading","An ordinance of the Miami city commission amending chapter 54 article section 54 138 of the code of the city of Miami, Florida."
"an ordinance of the miami city commission amending chapter article ix section 779 of the code of the city of miami, florida, as amended entitled administration city owned property outdoor advertising signs on city owned property, to allow for outdoor advertising signs at bayfront park and maurice ferre park; containing severability clause; and providing for an effective date. sponsor (s): commissioner joe carollo fr.3 12336 ordinance first reading",An ordinance of the Miami city commission amending chapter article ix section 779 of the code to allow outdoor advertising signs on city owned property.
"an ordinance of the miami city commission amending chapter 62 article xvii section 62 663 of the code of the city of miami, florida, as amended (city code), titled planning and zoning covenants for affordable or workforce housing requirements, enforcement provisions, and penalties for restrictive covenants associated with affordable or workforce housing related to development incentives, benefits, or bonuses, by adding subsection 62 663(9) to clarify and provide process for administratively authorizing partial releases and subordinations of certain affordable housing covenants related to and required by govern ment backed program financing or refinancing; containing severability clause; and providing for an effective date. sponsor (s): commissioner ken russell city commission meeting agenda september 8, 2022 city of miami page 25 printed on 30 2022 fr.4 12497 ordinance first eading","An ordinance of the Miami city commission amending chapter 62 article xvii section 62 663 of the code of the city of Miami, florida, as amended."
"an ordinance of the miami city commission amending chapter 38 article vi of the code of the city of miami, florida, as amended, titled virginia key beach park trust, by amending section 38 233, titled governing body: composition and appointments; terms of office and vacancies; membership eligibility requirements; oath; quorum and voting; meetings; attendance requirements; indemnification, to establish the appointment to the trusts governing body by the district commissioner, mayor and city man ager; containing severability clause; and providing for an immediate effective date. sponsor (s): commissioner christine king fr.5 12498 ordinance first reading","An ordinance of the Miami city commission amending chapter 38 article vi of the code of the city of Miami, florida, as amended by amending section 38 233."
"an ordinance of the miami city commission amending chapter 12.5 article division section 12.5 44 of the code of the city of miami, florida, as amended (city code), titled community revitalization community revitalization districts little haiti revitalization trust gove rning body composition and appointments; terms of office and vacancies; membership qualifications; procedures for appointment of members; oath; quorum and voting; meetings; attendance requirements; indemnification to amend the requirements to allow for th appointment of first responders to the trust; containing severability clause; and providing for an effective date. sponsor (s): commissioner christine king end of first reading ordinances city commission meeting agenda september 8, 2022 city of miami page 26 printed on 30 2022 bc boards and committees bc.1 8938 office of the city clerk resolution","An ordinance of the Miami city commission amending chapter 12.5 44 of the code of the city of Miami, florida, as amended."
"resolution of the miami city commission appointing certain individua ls as member of the affordable homeownership loan program task force for ter ms as designated herein. appointee s: nominated by: commissioner alex diaz de la portilla commissioner ken russell commissioner joe carollo commissioner manolo reyes commissioner christine king history: 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 07 08 21 result: no action taken next: 2021 9:00 am city commission meeting agenda september 8, 2022 city of miami page 27 printed on 30 2022 07 08 21 city commission no action taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am 10 14 21 city commission no action taken next: 11 18 21 result: no action taken next: 11 18 2021 9:00 am 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no acti on taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am 03 10 22 city commission no action taken next: 04 14 22 result: no action taken next: 14 2022 9:00 am 04 14 22 city commission no action taken next: 05 12 22 result: no action tak en next: 12 2022 9:00 am 05 12 22 city commission no action taken next: 06 09 22 result: no action taken next: 2022 9:00 am 06 09 22 city commission no action taken next: 07 14 22 result: no action taken next: 14 2022 9:00 am 07 14 22 city commis sion meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 2022 9:00 am 07 19 22 city commission no action taken next: 09 08 22 result: no action taken next: 2022 9:00 am city commission meeting agenda september 8, 2022 city of miami page 28 printed on 30 2022 bc.2 11553 office of the city clerk resolution resolution the miami city commission appointing certain individuals as members of the arts and entertainment council for terms as designated herein. appointees: nominated by: mayor francis suarez mayor francis suarez mayor francis suarez mayo francis suarez mayor francis suarez mayor francis suarez commissioner alex diaz de la portilla commissioner ken russell commissioner joe carollo commissioner manolo reyes history: 03 10 22 city commission no action aken next: 04 14 22 result: no action taken next: 14 2022 9:00 am 04 14 22 city commission no action taken next: 05 12 22 result: no action taken next: 12 2022 9:00 am 05 12 22 city commission no action taken next: 06 09 22 result: no action taken next: 2022 9:00 am 06 09 22 city commission no action taken next: 07 14 22 result: no action taken next: 14 2022 9:00 am city commission meeting agenda september 8, 2022 city of miami page 29 printed on 30 2022 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 2022 9:00 am 07 19 22 city comm ission no action taken next: 09 08 22 result: no action taken next: 2022 9:00 am city commission meeting agenda september 8, 2022 city of miami page 30 printed on 30 2022 bc.3 6672 office of the city clerk resolution",Miami city commission appointed certain individua ls as members of the affordable homeownership loan program task force for terms as designated herein.
"resolution of the miami city commission appointing certain individuals as members of the audit advisory committee for te rms as designated herein. appointees: nominated by: commissioner alex diaz de la portilla commissioner ken russell commissioner joe carollo commissioner manolo reyes commissioner christine king history: 11 21 19 city com mission no action taken next: 01 09 20 result: no action taken next: 2020 9:00 am 01 09 20 city commission rolled over to the next like meeting next: 02 13 20 result: rolled over to the next like meeting [3 to 2] next: 13 2020 9:00 am mover: alex iaz de la portilla, commissioner, district one seconder: joe carollo, vice chair, district three ayes: alex diaz de la portilla, joe carollo, manolo reyes nays: keon hardemon, ken russell 02 13 20 city commission no action taken next: 03 12 20 result: no action taken next: 12 2020 9:00 am 03 12 20 city commission no action taken next: 05 14 20 result: no action taken next: 14 2020 9:00 am 05 14 20 city commission no action taken next: 06 11 20 result: no action taken next: 11 2020 9:00 am city commission meeting agenda september 8, 2022 city of miami page 31 printed on 30 2022 06 11 city commission no action taken next: 07 09 20 result: no action taken next: 2020 9:00 am 07 09 20 city commission no action taken next: 09 10 20 result: no action taken next: 10 2020 9:00 am 09 10 20 city commission no action taken next: 10 08 20 result: no action taken next: 10 2020 9:00 am 10 08 20 city commission no action taken next: 11 19 20 result: no action taken next: 11 19 2020 9:00 am 11 19 20 city commission no action taken next: 12 10 20 result: no action taken next: 12 10 2020 :00 12 10 20 city commission no action taken next: 01 14 21 result: no action taken next: 14 2021 9:00 am 01 14 21 city commission no action taken next: 02 11 21 result: no action taken next: 11 2021 9:00 am 02 11 21 city commission no action take next: 03 11 21 result: no action taken next: 11 2021 9:00 am 03 11 21 city commission no action taken next: 04 08 21 result: no action taken next: 2021 9:00 am 04 08 21 city commission no action taken next: 05 13 21 result: no action taken next: 13 2021 9:00 am 05 13 21 city commission no action taken next: 06 10 21 result: no action taken next: 10 2021 9:00 am 06 10 21 city commission no action taken next: 07 08 21 result: no action taken next: 2021 9:00 am 07 08 21 city commission no actio taken next: 09 13 21 result: no action taken next: 13 2021 9:00 am 09 13 21 city commission no action taken next: 10 14 21 result: no action taken next: 10 14 2021 9:00 am city commission meeting agenda september 8, 2022 city of miami page 32 printed on 30 2022 10 14 21 city commission no action taken next: 11 18 21 result: no actio tak en next: 11 18 2021 9:00 am 11 18 21 city commission no action taken next: 12 09 21 result: no action taken next: 12 2021 9:00 am 12 09 21 city commission no action taken next: 01 13 22 result: no action taken next: 13 2022 9:00 am 01 13 22 city comm ission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am 03 10 22 city commission no action taken next: 04 14 22 result: no action taken next: 14 2022 9:00 am 04 14 22 city commission no action taken next: 05 12 22 result: no action taken next: 12 2022 9:00 am 05 12 22 city commission no action taken next: 06 09 22 result: no action taken next: 2022 9:00 am 06 09 22 city commission no action taken next: 07 14 22 result: no action taken next: 14 2022 9:00 am 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 2022 9:00 am 07 19 22 city commission no action taken next: 09 08 22 result: no action taken next: 2022 9:00 am city commission meeting agenda september 8, 2022 city of miami page 33 printed on 30 2022 bc.4 12163 office of the city clerk resolution","Miami city commission appointed certain individuals as members of the audit advisory committee for te rms on September 8, 2022."
"resolution of the miami city commission appointing certain individual as member of the bayfront park management trust for terms as designated herei n. appointee s: nominated by: commissioner ken russell commissioner joe carollo commissioner manolo reyes commissioner christine king history: 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting canc elled next: 19 2022 9:00 am 07 19 22 city commission no action taken next: 09 08 22 result: no action taken next: 2022 9:00 am city commission meeting agenda september 8, 2022 city of miami page 34 printed on 30 2022 bc.5 11096 office of the city clerk resolution",Miami city commission appointed certain individual as member of the bayfront park management trust for terms as designated herei n.
"resolution of the miami city commission confirming the appointment of cert ain individual as member of the civilian investigative panel for term as designated herein. appointee: nominated by: gabriel paez civilian investigative panel history: 12 09 21 city commission no action taken next: 01 13 22 result no action taken next: 13 2022 9:00 am 01 13 22 city commission no action taken next: 02 10 22 result: no action taken next: 10 2022 9:00 am 02 10 22 city commission no action taken next: 03 10 22 result: no action taken next: 10 2022 9:00 am 03 10 22 city commission no action taken next: 04 14 22 result: no action taken next: 14 2022 9:00 am 04 14 22 city commission no action taken next: 05 12 22 result: no action taken next: 12 2022 9:00 am 05 12 22 city commission no action taken next: 06 09 result: no action taken next: 2022 9:00 am 06 09 22 city commission no action taken next: 07 14 22 result: no action taken next: 14 2022 9:00 am 07 14 22 city commission meeting cancelled next: 07 19 22 result: meeting cancelled next: 19 022 :00 am 07 19 22 city commission no action taken next: 09 08 22 result: no action taken next: 2022 9:00 am city commission meeting agenda september 8, 2022 city of miami page 35 printed on 30 2022 bc.6 12422 office of the city clerk resolution",The Miami city commission confirms the appointment of cert ain individual as a member of the civilian investigative panel for term as designated by Gabriel Paez.
"resolution of the miami city commission appointing certain individuals as members of the clima te resilience committee for terms as designated herein. appointees: nominated by: mayor francis suarez commissioner alex diaz de la portilla commissioner joe carollo commissioner manolo reyes commission atlarge city commission meeting agenda september 8, 2022 city of miami page 36 printed on 30 2022 bc.7 6958 office of the city clerk resolution",The Miami city commission appointed certain individuals as members of the clima te resilience committee for terms as designated in the resolution of the miami city commission.
